employeeNumber,employeeName,periodStart,periodEnd,basicSalary,riceSubsidy,phoneAllowance,clothingAllowance,grossSalary,sss,philhealth,pagibig,tax,netSalary
10001,Manuel III Garcia,2024-06-01,2024-06-15,45000.0,0.0,0.0,0.0,45000.0,0.0,0.0,0.0,0.0,45000.0
10002,Antonio Lim,2024-06-01,2024-06-15,30000.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,30000.0
10003,Bianca Sofia Aquino,2024-06-01,2024-06-15,30000.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,30000.0
10004,Isabella Reyes,2024-06-01,2024-06-15,30000.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,30000.0
10005,Eduard Hernandez,2024-06-01,2024-06-15,26335.0,0.0,0.0,0.0,26335.0,0.0,0.0,0.0,0.0,26335.0
10006,Andrea Mae Villanueva,2024-06-01,2024-06-15,26335.0,0.0,0.0,0.0,26335.0,0.0,0.0,0.0,0.0,26335.0
10007,Brad San Jose,2024-06-01,2024-06-15,21487.5,0.0,0.0,0.0,21487.5,0.0,0.0,0.0,0.0,21487.5
10008,Alice Romualdez,2024-06-01,2024-06-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10009,Rosie Atienza,2024-06-01,2024-06-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10010,Roderick Alvaro,2024-06-01,2024-06-15,26335.0,0.0,0.0,0.0,26335.0,0.0,0.0,0.0,0.0,26335.0
10011,Anthony Salcedo,2024-06-01,2024-06-15,25412.5,0.0,0.0,0.0,25412.5,0.0,0.0,0.0,0.0,25412.5
10012,Josie Lopez,2024-06-01,2024-06-15,19237.5,0.0,0.0,0.0,19237.5,0.0,0.0,0.0,0.0,19237.5
10013,Martha Farala,2024-06-01,2024-06-15,12000.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,12000.0
10014,Leila Martinez,2024-06-01,2024-06-15,12000.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,12000.0
10015,Fredrick Romualdez,2024-06-01,2024-06-15,26750.0,0.0,0.0,0.0,26750.0,0.0,0.0,0.0,0.0,26750.0
10016,Christian Mata,2024-06-01,2024-06-15,21487.5,0.0,0.0,0.0,21487.5,0.0,0.0,0.0,0.0,21487.5
10017,Selena De Leon,2024-06-01,2024-06-15,20925.0,0.0,0.0,0.0,20925.0,0.0,0.0,0.0,0.0,20925.0
10018,Allison San Jose,2024-06-01,2024-06-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10019,Cydney Rosario,2024-06-01,2024-06-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10020,Mark Bautista,2024-06-01,2024-06-15,11625.0,0.0,0.0,0.0,11625.0,0.0,0.0,0.0,0.0,11625.0
10021,Darlene Lazaro,2024-06-01,2024-06-15,11625.0,0.0,0.0,0.0,11625.0,0.0,0.0,0.0,0.0,11625.0
10022,Kolby Delos Santos,2024-06-01,2024-06-15,12000.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,12000.0
10023,Vella Santos,2024-06-01,2024-06-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10024,Tomas Del Rosario,2024-06-01,2024-06-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10025,Jacklyn Tolentino,2024-06-01,2024-06-15,12000.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,12000.0
10026,Percival Gutierrez,2024-06-01,2024-06-15,12375.0,0.0,0.0,0.0,12375.0,0.0,0.0,0.0,0.0,12375.0
10027,Garfield Manalaysay,2024-06-01,2024-06-15,12375.0,0.0,0.0,0.0,12375.0,0.0,0.0,0.0,0.0,12375.0
10028,Lizeth Villegas,2024-06-01,2024-06-15,12000.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,12000.0
10029,Carol Ramos,2024-06-01,2024-06-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10030,Emelia Maceda,2024-06-01,2024-06-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
10031,Delia Aguilar,2024-06-01,2024-06-15,11250.0,0.0,0.0,0.0,11250.0,0.0,0.0,0.0,0.0,11250.0
