username,password,role,employeeNumber
10001,pbkdf2$120000$Vgu3DvjvtOSY4u4y8H54NQ==$yZjwTfLBS6n/lsvM7QKs9DEQPOLQNvr5q6f5fAllD2M=,EMPLOYEE,10001
10002,pbkdf2$120000$U/MzqQ5MLhsDaBZDZ2s07Q==$/CTW+mJYLOQPnwgg+OFzxEkLt9yzdaes8rZQMsNdk4Y=,EMPLOYEE,10002
10003,pbkdf2$120000$a7GgM9C5iQYp/FoUWGMt3g==$Tw4WW5ViMo43DHsT67n4oFEOme2SgXApsH5+KS8PVXM=,EMPLOYEE,10003
10004,pbkdf2$120000$r0Pr7nAPddYXX82IvANDmA==$+gc/KddpmJpnGdKaefhlmItno2rScvtkCgjeap4Im6k=,EMPLOYEE,10004
10005,pbkdf2$120000$IGUZifcBQXlA6xJJH3ZN/Q==$SHfEc2If/LZzYL7UNxh0bjtdYGYApb2G+Q789Rn9Vko=,EMPLOYEE,10005
10006,pbkdf2$120000$pmQn7u0bwIBk3lxqpqHzVQ==$GRipK3y6gE0ZV1rmIU6nIt35xAO9Ym744N+80AKz6XI=,EMPLOYEE,10006
10007,pbkdf2$120000$W/VyRCMZZEceahG7+XvlzA==$W6kAWRIPUyWuV16tofKBLYRTyIO3Uv6dY5FH38wbUAs=,EMPLOYEE,10007
10008,pbkdf2$120000$fcL7FjDQXw0VN0tkcnjIDA==$VK5BYmDNXoFM6Yb2OJApz4PmTgQwZxl8aw9JAUz3DTw=,EMPLOYEE,10008
10009,pbkdf2$120000$lPJDL2QGa7/eH4zauDUezg==$u+Wa4OY8RrvvD71wMJzj+02MXnSWfjT5hFQjeEVg5hc=,EMPLOYEE,10009
10010,pbkdf2$120000$3i8lweCcKx+vqKjbXwCm4g==$IMLxrr89AwF5v/7rL4o5nW1FRk9kPLImXbbrjBep1js=,EMPLOYEE,10010
10011,pbkdf2$120000$oONOCkCPVm1vedH3YzZd+A==$83wQJDgUULtZwyaM93vO3PMb+ypdDWMh37di0Zy4bj8=,EMPLOYEE,10011
10012,pbkdf2$120000$dltMvfwgN740I+5sgtyYjA==$wBDjknfM1oO0Csk1KH+xlCiTImKbSxNuqVp8ivKLhSg=,EMPLOYEE,10012
10013,pbkdf2$120000$V0Xwp3JDKutzRvoWbUaS1Q==$abk229PAHdnEzEYSIZKHKlqaXiConaKOSisVzfCmPuE=,EMPLOYEE,10013
10014,pbkdf2$120000$q5hCH969Ess/duxzCKwskw==$CxgaVaL+kafLJUwqHw5Ln9sl0HP8zYzguE8HviLE0JU=,EMPLOYEE,10014
10015,pbkdf2$120000$u/uqfbdjt5jlKxn5f+QF7w==$gSUhHNruHs//AOV5AhPILVjqeX3QkXIv6GWgBI2MmFM=,EMPLOYEE,10015
10016,pbkdf2$120000$umKUxjTq3fDR0W2EZwp3TA==$4v0860L7rsubAQJSqjI3HzxwCThvAID4WeTDLD6jUYQ=,EMPLOYEE,10016
10017,pbkdf2$120000$yUcK6aVx0v6BvBKRaRV8zg==$WuSGmB2JCoTXVMvg8EewQGTACNWpP5OUg8l/3GP5UDY=,EMPLOYEE,10017
10018,pbkdf2$120000$cKMHTw278UbpN5K49qKRUQ==$vS0Pcg1Tu1FZos6oRBdh1n1QvDdKoUbC/0emj/p8plI=,EMPLOYEE,10018
10019,pbkdf2$120000$BaRJy2zri5r082K4QwRF+w==$KgpMIlQau719OBdg6u1ETuYFV+lq4bIeFdK7EhLBPhM=,EMPLOYEE,10019
10020,pbkdf2$120000$JQ5Lwx8sqXdj6+H+DAqW1g==$UvZLdDQCAN9+rM9j5qjut4PMRvMy5oBb/Fpi47Q7ds0=,EMPLOYEE,10020
10021,pbkdf2$120000$SxrFvTwRf5fYJ1bZhDHDMA==$E3QRYdcfmKgD6NL4wC3ak+QnHdxed0SqtjjkXCunatI=,EMPLOYEE,10021
10022,pbkdf2$120000$fTCUhGHLVmIXOKFi6xcG+A==$CidwEzjAzp9P7LlkUmVfSrj15lvoKQLsIPmq7NNzVqM=,EMPLOYEE,10022
10023,pbkdf2$120000$xmAuDwbTcgyfNKGfPB2zWQ==$JqMzMmkOXVTPkkOfd5ZORWtE8M5fWaRTNM+s6umSXPQ=,EMPLOYEE,10023
10024,pbkdf2$120000$IamQ/g73R+hXBt2ZfrSJ7Q==$6fcDxxs0JZu0d/vsnhO13SiFMx+anxCNKE53me0KScg=,EMPLOYEE,10024
10025,pbkdf2$120000$Xwvr5nO/DIOWceHB/XFbzw==$GkXpXI2rkY4MXXVryzlqgeyOwtlI8gTxAk0p45ys4+0=,EMPLOYEE,10025
10026,pbkdf2$120000$FaDmvw5GmMldMu4NcjmxgQ==$E2UDSlJsg0s9AUmTsWPog61MoJN1C5LUtYjz5HZot1g=,EMPLOYEE,10026
10027,pbkdf2$120000$W8XZOqPns1DxAlasNvFidw==$FWa/xHP8q2GOVf6wkQyGFAPqAokoGjvRNKHI7+tPDfc=,EMPLOYEE,10027
10028,pbkdf2$120000$PyWLnUDQAv5yjJj3GYucxg==$ooVjCFNsi3xYlVCvfLCJQZ1lU+HbLYaNiRVH9LUKe9k=,EMPLOYEE,10028
10029,pbkdf2$120000$GD8+pElBDEkljR/oUC/icw==$aHxo8I620MA+ciCn7UUPy64Z3AqUc0qJA8uv4SQ93GQ=,EMPLOYEE,10029
10030,pbkdf2$120000$D4iK76d47A0M0X3dWLrLsA==$/WrdvzF8t5mcF7dh9o5HNtTBUHjIaGpIz0ZkIV2yNLw=,EMPLOYEE,10030
10031,pbkdf2$120000$GBiWf3jgDWKzFEm6yG0SwQ==$g0NgECtI0JLZ8K2TudNSzyQQz5rTrbmlpUbJ7tzIrNo=,EMPLOYEE,10031
10032,pbkdf2$120000$/+yT2K0g2BM058NOluVqDw==$POz6frQAquYVfppiinZgjdE8k1+4BICQiidyODZi7YM=,EMPLOYEE,10032
10033,pbkdf2$120000$TkNZ4TxZpTvKxMs8bYN2PA==$pitzvctqqEPb/eQp/NxuYzFF+dO/J4anw6MQ50ELMWs=,EMPLOYEE,10033
10034,pbkdf2$120000$WnLJZzMwpae469AGbUZhfA==$v4tH3XFcf2FuaPMHC3+girIvSraxgmFF3QTsu+pACCg=,EMPLOYEE,10034
hr1,pbkdf2$120000$McF7//ghIwJ88PcLVAzNWQ==$2i5mH/TQplTWpQUFAFouSRjJSeP/kWE1KPCup9ppkiA=,HR,0
payroll1,pbkdf2$120000$L9NUZaN14BaM7g0EMWm/BA==$mw8nx3/389fcc0pH6yUL1GLWGHNOUGmEF2SF6Ton0To=,FINANCE,0
it1,pbkdf2$120000$qZPdsDZTlk5DQPQ2fB7ytQ==$LmF1HokgqeDhxqUyrDuS44dT91oEF8ES+Ms5Bdd9G5o=,IT,0
admin,pbkdf2$120000$mspXEaii064ln3CpJbyiJA==$eX89aIG8FvMQTeDYuB2MO5dl07BM4ENhxjlgQwIJcU4=,ADMIN,0
