EmployeeNumber,EmployeeName,PeriodStart,PeriodEnd,BasicSalary,RiceSubsidy,PhoneAllowance,ClothingAllowance,GrossSalary,SSS,PhilHealth,Pagibig,Tax,NetSalary
10002,Antonio Lim,2026-03-01,2026-03-15,0.0,0.0,0.0,0.0,60000.0,0.0,125.0,0.0,0.0,59875.0
10003,Bianca Sofia Aquino,2026-03-01,2026-03-15,0.0,0.0,60000.0,1500.0,32750.0,0.0,125.0,0.0,0.0,32625.0
10004,Isabella Reyes,2026-03-01,2026-03-15,0.0,0.0,60000.0,1500.0,32750.0,0.0,125.0,0.0,0.0,32625.0
10005,Eduard Hernandez,2026-03-01,2026-03-15,0.0,0.0,0.0,52670.0,27835.0,0.0,125.0,0.0,0.0,27710.0
10006,Andrea Mae Villanueva,2026-03-01,2026-03-15,0.0,0.0,0.0,52670.0,27835.0,0.0,125.0,0.0,0.0,27710.0
10007,Brad San Jose,2026-03-01,2026-03-15,0.0,0.0,0.0,42975.0,22987.5,0.0,125.0,0.0,0.0,22862.5
10008,Alice Romualdez,2026-03-01,2026-03-15,0.0,0.0,22500.0,1500.0,12500.0,0.0,125.0,0.0,0.0,12375.0
10009,Rosie Atienza,2026-03-01,2026-03-15,0.0,0.0,22500.0,1500.0,12500.0,0.0,125.0,0.0,0.0,12375.0
10010,Roderick Alvaro,2026-03-01,2026-03-15,0.0,0.0,0.0,52670.0,27835.0,0.0,125.0,0.0,0.0,27710.0
10011,Anthony Salcedo,2026-03-01,2026-03-15,0.0,0.0,50825.0,1500.0,27162.5,0.0,125.0,0.0,0.0,27037.5
10012,Josie Lopez,2026-03-01,2026-03-15,0.0,0.0,0.0,38475.0,20737.5,0.0,125.0,0.0,0.0,20612.5
10013,Martha Farala,2026-03-01,2026-03-15,0.0,0.0,24000.0,1500.0,13250.0,0.0,125.0,0.0,0.0,13125.0
10014,Leila Martinez,2026-03-01,2026-03-15,0.0,0.0,24000.0,1500.0,13250.0,0.0,125.0,0.0,0.0,13125.0
10015,Fredrick Romualdez,2026-03-01,2026-03-15,0.0,0.0,53500.0,1500.0,28500.0,0.0,125.0,0.0,0.0,28375.0
10016,Christian Mata,2026-03-01,2026-03-15,0.0,0.0,42975.0,1500.0,23037.5,0.0,125.0,0.0,0.0,22912.5
10017,Selena De Leon,2026-03-01,2026-03-15,0.0,0.0,41850.0,1500.0,22475.0,0.0,125.0,0.0,0.0,22350.0
10018,Allison San Jose,2026-03-01,2026-03-15,0.0,0.0,0.0,22500.0,12750.0,0.0,125.0,0.0,0.0,12625.0
10019,Cydney Rosario,2026-03-01,2026-03-15,0.0,0.0,22500.0,1500.0,12500.0,0.0,125.0,0.0,0.0,12375.0
10020,Mark Bautista,2026-03-01,2026-03-15,0.0,0.0,0.0,23250.0,13125.0,0.0,125.0,0.0,0.0,13000.0
10021,Darlene Lazaro,2026-03-01,2026-03-15,0.0,0.0,0.0,23250.0,13125.0,0.0,125.0,0.0,0.0,13000.0
10022,Kolby Delos Santos,2026-03-01,2026-03-15,0.0,0.0,24000.0,1500.0,13250.0,0.0,125.0,0.0,0.0,13125.0
10023,Vella Santos,2026-03-01,2026-03-15,0.0,0.0,0.0,22500.0,12750.0,0.0,125.0,0.0,0.0,12625.0
10024,Tomas Del Rosario,2026-03-01,2026-03-15,0.0,0.0,0.0,22500.0,12750.0,0.0,125.0,0.0,0.0,12625.0
10025,Jacklyn Tolentino,2026-03-01,2026-03-15,0.0,0.0,0.0,24000.0,13500.0,0.0,125.0,0.0,0.0,13375.0
10026,Percival Gutierrez,2026-03-01,2026-03-15,0.0,0.0,0.0,24750.0,13875.0,0.0,125.0,0.0,0.0,13750.0
10027,Garfield Manalaysay,2026-03-01,2026-03-15,0.0,0.0,0.0,24750.0,13875.0,0.0,125.0,0.0,0.0,13750.0
10028,Lizeth Villegas,2026-03-01,2026-03-15,0.0,0.0,24000.0,1500.0,13250.0,0.0,125.0,0.0,0.0,13125.0
10029,Carol Ramos,2026-03-01,2026-03-15,0.0,0.0,22500.0,1500.0,12500.0,0.0,125.0,0.0,0.0,12375.0
10030,Emelia Maceda,2026-03-01,2026-03-15,0.0,0.0,22500.0,1500.0,12500.0,0.0,125.0,0.0,0.0,12375.0
10031,Delia Aguilar,2026-03-01,2026-03-15,0.0,0.0,22500.0,1500.0,12500.0,0.0,125.0,0.0,0.0,12375.0
10032,John Rafael Castro,2026-03-01,2026-03-15,0.0,0.0,0.0,52670.0,27835.0,0.0,125.0,0.0,0.0,27710.0
10033,Carlos Ian Martinez,2026-03-01,2026-03-15,0.0,0.0,52670.0,1500.0,28085.0,0.0,125.0,0.0,0.0,27960.0
10034,Beatriz Santos,2026-03-01,2026-03-15,0.0,0.0,52670.0,1500.0,28085.0,0.0,125.0,0.0,0.0,27960.0
