username,password,role,employeeNumber
10001,emp10001,EMPLOYEE,10001
10002,Try10002,EMPLOYEE,10002
10003,emp10003,EMPLOYEE,10003
10004,emp10004,EMPLOYEE,10004
10005,emp10005,EMPLOYEE,10005
10006,emp10006,EMPLOYEE,10006
10007,emp10007,EMPLOYEE,10007
10008,emp10008,EMPLOYEE,10008
10009,emp10009,EMPLOYEE,10009
10010,emp10010,EMPLOYEE,10010
10011,emp10011,EMPLOYEE,10011
10012,emp10012,EMPLOYEE,10012
10013,emp10013,EMPLOYEE,10013
10014,emp10014,EMPLOYEE,10014
10015,emp10015,EMPLOYEE,10015
10016,emp10016,EMPLOYEE,10016
10017,emp10017,EMPLOYEE,10017
10018,emp10018,EMPLOYEE,10018
10019,emp10019,EMPLOYEE,10019
10020,emp10020,EMPLOYEE,10020
10021,emp10021,EMPLOYEE,10021
10022,emp10022,EMPLOYEE,10022
10023,emp10023,EMPLOYEE,10023
10024,emp10024,EMPLOYEE,10024
10025,emp10025,EMPLOYEE,10025
10026,emp10026,EMPLOYEE,10026
10027,emp10027,EMPLOYEE,10027
10028,emp10028,EMPLOYEE,10028
10029,emp10029,EMPLOYEE,10029
10030,emp10030,EMPLOYEE,10030
10031,emp10031,EMPLOYEE,10031
10032,emp10032,EMPLOYEE,10032
10033,emp10033,EMPLOYEE,10033
10034,emp10034,EMPLOYEE,10034
hr1,hr1123,HR,0
hr2,hr2123,HR,0
hr3,hr3123,HR,0
payroll1,payroll1123,PAYROLL,0
payroll2,payroll2123,PAYROLL,0
payroll3,payroll3123,PAYROLL,0
admin,admin123,EMPLOYEE,0
